OBJECTID,COMID,PERMANENT_IDENTIFIER,GNIS_ID,GNIS_NAME,AREASQKM,REACHCODE,FTYPE_DISPLAY,HU8,WATERBODY_NAME,FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,LEVELELEV,GLOBALID
1965,,167282255,00875774,Culvers Creek,0.00013542,,Stream/River,02040105,Culvers Creek,875774,Culvers Creek,Stream,,{398B98D7-DA2F-4DF3-BEDA-B17E80915738}
1966,,167282255,00875774,Culvers Creek,8.786e-05,,Stream/River,02040105,Culvers Creek,875774,Culvers Creek,Stream,,{F3E2EE8D-54B9-4B15-A7C7-CDA2C338CE16}
1967,,167282255,00875774,Culvers Creek,6.248e-05,,Stream/River,02040105,Culvers Creek,875774,Culvers Creek,Stream,,{E7FAF61D-3509-4A3E-B214-B9D8FCA3CCAD}
1968,,167282255,00875774,Culvers Creek,4.035e-05,,Stream/River,02040105,Culvers Creek,875774,Culvers Creek,Stream,,{15F10B2E-EDA8-4290-9385-8BEAB0CCA6F3}
1969,,167282255,00875774,Culvers Creek,6.213e-05,,Stream/River,02040105,Culvers Creek,875774,Culvers Creek,Stream,,{CCC890B2-5017-4916-8229-049708BF35A9}
1990,,167282256,00875774,Culvers Creek,3.615e-05,,Stream/River,02040105,Culvers Creek,875774,Culvers Creek,Stream,,{7DB3E10F-9829-4F4A-97CE-1531B9B79C49}
2234,,120022890,00875777,Culvers Lake,5.841e-05,02040105001394,Lake/Pond,02040105,Culvers Lake,875777,Culvers Lake,Reservoir,,{9B19B66B-E4DE-405C-A1C1-762176FE28A0}
5410,,167282255,00875774,Culvers Creek,7.647e-05,,Stream/River,02040105,Culvers Creek,875774,Culvers Creek,Stream,,{766C15FD-4653-4B2A-9F12-A373C991A322}
5411,,167282255,00875774,Culvers Creek,0.00161645,,Stream/River,02040105,Culvers Creek,875774,Culvers Creek,Stream,,{10275876-7805-4735-90E8-553E7175FD83}
5412,,167282255,00875774,Culvers Creek,0.0023483,,Stream/River,02040105,Culvers Creek,875774,Culvers Creek,Stream,,{FD054308-0EC8-49F5-8920-F4586C7CADD9}
5413,,167282255,00875774,Culvers Creek,0.00119453,,Stream/River,02040105,Culvers Creek,875774,Culvers Creek,Stream,,{8155672E-F9E5-4ACE-BECA-008DFFE1AC9C}
5414,,167282255,00875774,Culvers Creek,0.00375444,,Stream/River,02040105,Culvers Creek,875774,Culvers Creek,Stream,,{A426034D-4418-4651-9EA0-2052FC16411B}
5415,,167282255,00875774,Culvers Creek,0.0043054700000000005,,Stream/River,02040105,Culvers Creek,875774,Culvers Creek,Stream,,{1E827152-8F3D-4EB5-B8C7-ED356D919CF3}
5416,,167282255,00875774,Culvers Creek,0.00494201,,Stream/River,02040105,Culvers Creek,875774,Culvers Creek,Stream,,{62993D6D-3F97-4AEC-BBD3-7413CFC1FC0E}
5417,,167282255,00875774,Culvers Creek,0.0060542,,Stream/River,02040105,Culvers Creek,875774,Culvers Creek,Stream,,{2BFFEDBB-FAF3-4A1A-B7BB-9E630CDD4DE7}
5418,,167282255,00875774,Culvers Creek,0.00206342,,Stream/River,02040105,Culvers Creek,875774,Culvers Creek,Stream,,{BB25DB76-CFD8-4F03-93D3-69044F3F9240}
5439,,167282256,00875774,Culvers Creek,0.00425482,,Stream/River,02040105,Culvers Creek,875774,Culvers Creek,Stream,,{C6661ED6-E873-472F-9FA3-79143F170148}
5440,,167282256,00875774,Culvers Creek,0.00570465,,Stream/River,02040105,Culvers Creek,875774,Culvers Creek,Stream,,{0DAC7669-3FD2-4A5F-A178-76C966EA4F8B}
7728,,120022890,00875777,Culvers Lake,0.04085734,02040105001394,Lake/Pond,02040105,Culvers Lake,875777,Culvers Lake,Reservoir,,{1F3E80CE-B347-469E-8F1A-94B499C60600}
7729,,120022890,00875777,Culvers Lake,2.08145383,02040105001394,Lake/Pond,02040105,Culvers Lake,875777,Culvers Lake,Reservoir,,{5F411D23-E793-43E2-987B-C1C5326B9935}
